Orkiestra muzyki XX i XXI wieku;wszystkie lata;dr hab. Robert Kurdybacha;b.o.;zal;zal;2;2;3;3;6;I;KiTM;czwartek, 14:30-17:30, Sala Prob 102E, realizacja w podwojnym wymiarze godzin w ustalonych przez prowadzacego terminach;
Paleografia muzyczna;1M;dr Grzegorz Joachimiak;5;zal;zst;2;2;2;2;4;I;KiTM;czwartek, 13:15-14:45, sala 002E;
Podstawy instrumentacji i kompozycji;2L;dr Grzegorz Wierzba;2;zal;zst;1;1;1;1;2;I;KiTM;sroda, 17:50-18:35, sala 404B;
Podstawy realizacji nagran;3L;mgr Kamil Biedrzycki;5;zst;-;2;-;2;-;2;I;KiTM;poniedzialek, 12:15-13:45, sala 112 SKK;
Podstawy rezyserii dzwieku;1M;mgr Kamil Biedrzycki;3;zal;zst;1;1;1;1;2;I;KiTM;poniedzialek, 17:00-20:00, sala 112 SKK, zajecia w blokach, realizacja w ustalonych przez prowadzacego terminach;"wylacznie po zrealizowaniu kursu "Podstawy realizacji nagran""
Praktyki orkiestrowe;wszystkie lata;opiekun dr Milosz Kula;b.o.;zal;zal;1;1;2;2;4;I;KiTM;;zajecia w blokach, terminy ustali prowadzacy;
Propedeutyka kompozycji komputerowej;3L;lic. Maciej Michaluk;2;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 12:15-13:45, 112 SKK;
Propedeutyka muzyki teatralnej i filmowej;3L;dr hab. Sebastian Ladyzynski/mgr Kamil Biedrzycki;2;zst;egz;2;2;2;2;4;I;KiTM;poniedzialek, 10:30-12:00, sala 112 SKK;
Psychologia tworczosci;2L;dr Amelia Golema;5;zal;zst;2;2;2;2;4;I;KiTM;czwartek, 09:35-11:05, sala Kameralna;
Publicystyka muzyczna;2M;mgr Joanna Kolodziejska;10;zst;egz;2;2;3;3;6;I;KiTM;wtorek, 18:00-19:30, sala 301B;
Technologia muzyki komputerowej;2M;dr Marcin Rupocinski;2;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 09:00-12:00, sala 112 SKK, realizacja w podwojnym wymiarze godzin w ustalonych przez prowadzacego terminach;"Kontynuacja "Technologii muzyki komputerowej 1""
Technologia muzyki komputerowej 1;1M;dr Marcin Rupocinski;2;zst;zst;2;2;3;3;6;I;KiTM;wtorek, 09:00-12:00, sala 112 SKK, realizacja w podwojnym wymiarze godzin w ustalonych przez prowadzacego terminach;
Technologie przestrzennej dystrybucji dzwieku;2M;dr hab. Pawel Hendrich;1;zst;egz;1;1;1;1;2;I;KiTM;wtorek, 16:15-17:45, sala 112 SKK, realizacja w podwojnym wymiarze godzin w ustalonych przez prowadzacego terminach;"Wymagania wstepne: ukonczony kurs "Propedeutyka kompozycji komputerowej" i "Komputer w pracy tworczej" lub wiedza i umiejetnosci adekwatne do poziomu zaliczenia tych kursow"
Wielkie formy muzyczne;2M;dr Aleksandra Pijarowska, prof. AMKL;15;zst;egz;2;2;2;2;4;I;KiTM;sroda, 09:25-10:55, sala 301B;
Wprowadzenie do teorii muzyki;1L;dr hab. Tomasz Kienik;10;zst;egz;1;1;4;4;8;I;KiTM;czwartek, 09:05-09:50, sala 301B;
Techniki kompozytorskie w XX i XXI wieku;2L;dr Mateusz Ryczek;2;zst;egz;2;2;2;2;4;I;KiTM;czwartek, 08:25-09:55, sala 001E;
Wprowadzenie do analizy dziela muzycznego;2L;mgr Aleksandra Ferenc;2;zal;zst;1;1;1;1;2;I (Mt);Mt;piatek, 10:35-11:20, sala 201 F;Dla studentow, ktorzy nie ukonczyli szkoly muzycznej II stopnia
Arteterapia;2L;dr Daniela Colonna-Kasjan;10;zal;zst;2;2;2;2;4;I (Mt);Mt;wtorek, 9:50-11:20, sala 305 F;
Choreoterapia;3L;dr Agnieszka Zygmont;2;zst;egz;1;1;1;1;2;I (Mt);Mt;poniedzialek, 9:35-11:05, ul. Ciepla 15B;wyklad
Podstawy harmonii;2L;mgr Aleksandra Ferenc;4;zal;zst;1;1;1;1;2;I (Mt);Mt;sroda grupa I, 8:15-9:00, sala 203 B, grupa II 9:05-9:50;Dla studentow, ktorzy nie ukonczyli szkoly muzycznej II stopnia
Historia muzykoterapii z literatura muzyczna;1L;dr Klaudia Kukienczynska-Krawczyk;12;zst;zst;2;2;2;2;4;I (Mt);Mt;sroda, 11:35-13:05, sala 201 F;
Instrumentarium Orffa w muzykoterapii;1L;dr Klaudia Kukienczynska-Krawczyk;12;zal;zst;1;1;1;1;2;I (Mt);Mt;sroda, 10:40-11:25, sala 305 F;
Kontrapunkt;3L;;5;zal;zst;1;1;2;2;4;I (Mt);Mt;sroda, 13:30-14:15, sala 201 F;
Metody i techniki muzykoterapii;2L;dr Daniela Colonna-Kasjan;3;zal;zst;1;1;1;1;2;I (Mt);Mt;czwartek grupa I 8:20-9:05, grupa II 9:05-9:50, grupa III 9:50-10:25, sala 305 F;
Metody i techniki parateatralne;1L;dr Marzenna Wojak;10;zal;zst;2;2;2;2;4;I (Mt);Mt;sroda, 13:10-14:40, sala baletowa;
Metody i techniki relaksacyjne;2L;dr Agnieszka Zygmont;;zal;zst;1;1;1;1;2;I (Mt);Mt;poniedzialek, 8:00-9:30, grupa I i II, ul. Ciepla 15B;
Muzykoterapia kreatywna;1M;dr Klaudia Kukienczynska-Krawczyk;10;zal;zst;2;2;2;2;4;I (Mt);Mt;wtorek, 14:20-15:50, sala 201 F;
Pedagogika specjalna;1L;dr hab. Barbara Winczura;4;zst;zst;2;2;2;2;4;I (Mt);Mt;sroda, 8:15-9:45, sala 217 A;
Podstawy anatomii i fizjologii;1L;lek. Kacper Kuszczynski;12;zal;zst;2;2;2;2;4;I (Mt);Mt;poniedzialek, 15:20-18:20, sala 201 F;Pierwsze zajecia 4 grudnia.
