Metodologia pracy naukowej;2L;prof. dr hab. Anna Granat-Janki;2;zst;egz;1;1;1;1;2;I;KiTM;środa, 14:15-15:00, sala 202B;
Metody analityczne w XX i XXI wieku;1M;dr hab. Tomasz Kienik;2;zal;zst;2;2;2;2;4;I;KiTM;czwartek, 10:00-11:30, sala 301B;
Muzyka a humanistyka;2M;dr Katarzyna Bartos;15;zst;egz;2;2;2;3;5;I;KiTM;czwartek, 13:10-14:40, sala 005D;Fakultet dla studentów Wydziału Instrumentalnego.
Muzyka i media;2L;mgr Joanna Kołodziejska;10;zal;zst;1;1;1;1;2;I;KiTM;wtorek, 16:40-18:10, sala 002E, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Muzyka polska XX i XXI wieku;2L;dr Aleksandra Pijarowska, prof. AMKL;2;zst;egz;2;2;2;2;4;I;KiTM;środa, 12:35-14:05, sala 301B;
Muzyka XX i XXI wieku 1;1M;prof. dr hab. Anna Granat-Janki;5;zst;zst;2;2;2;2;4;I;KiTM;środa, 11:00-12:30, sala 202B;
Muzyka XX i XXI wieku 2;2M;dr Katarzyna Bartos;10;zst;egz;2;2;3;3;6;I;KiTM;środa, 13:10-14:40, sala 203B;"Kontynuacja ""Muzyki XX i XXI wieku 1"""
Nowoczesne metody zarządzania zespołem;3L;dr hab. Robert Kurdybacha;15;zst;zst;1;1;1;1;2;I;KiTM;czwartek, 15:15-16:45, sala 301B, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Organizacja życia muzycznego;2L;dr Miłosz Kula;10;zal;zst;1;1;1;1;2;I;KiTM;poniedziałek, 12:00-12:45, sala 001E;
Orkiestra muzyki XX i XXI wieku;wszystkie lata;dr hab. Robert Kurdybacha;b.o.;zal;zal;2;2;3;3;6;I;KiTM;czwartek, 17:00-20:00, Sala Prób 102E, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Paleografia muzyczna;1M;dr Grzegorz Joachimiak;5;zal;zst;2;2;2;2;4;I;KiTM;czwartek, 12:30-14:00, sala 002E;
Podstawy instrumentacji i kompozycji;2L;dr Grzegorz Wierzba;2;zal;zst;1;1;1;1;2;I;KiTM;środa, 09:40-10:25, sala 404B;
Podstawy realizacji nagrań;3L;mgr Kamil Biedrzycki;5;zst;-;2;-;2;-;2;I;KiTM;poniedziałek, 10:30-12:00, sala 112 SKK;
Podstawy reżyserii dźwięku;1M;mgr Kamil Biedrzycki;3;zal;zst;1;1;1;1;2;I;KiTM;poniedziałek, 17:00-20:00, sala 112 SKK, zajęcia w blokach, realizacja w ustalonych przez prowadzącego terminach;"wyłącznie po zrealizowaniu kursu ""Podstawy realizacji nagrań"""
Praktyki orkiestrowe;wszystkie lata;opiekun mgr Jan Bielak;b.o.;zal;zal;1;1;2;2;4;I;KiTM;zajęcia w blokach - terminy ustali prowadzący;
Propedeutyka kompozycji komputerowej;3L;lic. Maciej Michaluk;2;zst;egz;2;2;2;2;4;I;KiTM;środa, 12:30-14:00, 112 SKK;
Propedeutyka muzyki teatralnej i filmowej;3L;dr Michał Ziółkowski mgr Ignacy Wojciechowski;2;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 12:15-13:45, sala 112 SKK;
Psychologia twórczości;2L;dr Amelia Golema;5;zal;zst;2;2;2;2;4;I;KiTM;czwartek, 10:00-11:30, 217A;
Publicystyka muzyczna;2M;mgr Joanna Kołodziejska;10;zst;egz;2;2;3;3;6;I;KiTM;środa, 11:30-13:00, sala 005D;
